kind,legacy_file,occurrences,first_line
minecraft_get_minecraft,net/narutomod/block/BlockMeteor.java,1,102
minecraft_get_minecraft,net/narutomod/block/BlockMeteorite.java,1,164
minecraft_get_minecraft,net/narutomod/Chakra.java,2,331
minecraft_get_minecraft,net/narutomod/entity/EntityBuddha1000.java,1,569
minecraft_get_minecraft,net/narutomod/entity/EntityChidori.java,1,356
minecraft_get_minecraft,net/narutomod/entity/EntityClone.java,1,770
minecraft_get_minecraft,net/narutomod/entity/EntityEarthBlocks.java,2,824
minecraft_get_minecraft,net/narutomod/entity/EntityHakkeshoKeiten.java,2,276
minecraft_get_minecraft,net/narutomod/entity/EntityItachi.java,1,106
minecraft_get_minecraft,net/narutomod/entity/EntityKingOfHell.java,1,674
minecraft_get_minecraft,net/narutomod/entity/EntityLightningBeast.java,2,295
minecraft_get_minecraft,net/narutomod/entity/EntityNinjaMob.java,3,797
minecraft_get_minecraft,net/narutomod/entity/EntityPretaShield.java,2,316
minecraft_get_minecraft,net/narutomod/entity/EntityRasengan.java,1,320
minecraft_get_minecraft,net/narutomod/entity/EntitySnake.java,1,1107
minecraft_get_minecraft,net/narutomod/entity/EntitySusanooClothed.java,1,325
minecraft_get_minecraft,net/narutomod/entity/EntitySusanooWinged.java,1,362
minecraft_get_minecraft,net/narutomod/entity/EntityTailedBeast.java,1,1101
minecraft_get_minecraft,net/narutomod/entity/EntityTwoTails.java,2,273
minecraft_get_minecraft,net/narutomod/entity/EntityWoodGolem.java,1,211
minecraft_get_minecraft,net/narutomod/gui/overlay/OverlayByakuganView.java,4,76
minecraft_get_minecraft,net/narutomod/gui/overlay/OverlayChakraDisplay.java,3,75
minecraft_get_minecraft,net/narutomod/gui/overlay/OverlayDebugStats.java,2,37
minecraft_get_minecraft,net/narutomod/item/ItemAshBones.java,1,200
minecraft_get_minecraft,net/narutomod/item/ItemAsuraCanon.java,1,59
minecraft_get_minecraft,net/narutomod/item/ItemBijuCloak.java,2,959
minecraft_get_minecraft,net/narutomod/item/ItemBlackReceiver.java,1,236
minecraft_get_minecraft,net/narutomod/item/ItemFoldingFan.java,1,72
minecraft_get_minecraft,net/narutomod/item/ItemJutsu.java,1,397
minecraft_get_minecraft,net/narutomod/item/ItemKabutowari.java,1,123
minecraft_get_minecraft,net/narutomod/item/ItemKamuiShuriken.java,1,80
minecraft_get_minecraft,net/narutomod/item/ItemKaton.java,1,369
minecraft_get_minecraft,net/narutomod/item/ItemKunai.java,1,237
minecraft_get_minecraft,net/narutomod/item/ItemKunaiExplosive.java,1,246
minecraft_get_minecraft,net/narutomod/item/ItemKusanagiSword.java,1,83
minecraft_get_minecraft,net/narutomod/item/ItemNuibariSword.java,1,101
minecraft_get_minecraft,net/narutomod/item/ItemOnBody.java,1,172
minecraft_get_minecraft,net/narutomod/item/ItemShuriken.java,1,72
minecraft_get_minecraft,net/narutomod/item/ItemSixPathSenjutsu.java,1,70
minecraft_get_minecraft,net/narutomod/item/ItemSmokeBomb.java,1,67
minecraft_get_minecraft,net/narutomod/item/ItemYoton.java,1,242
minecraft_get_minecraft,net/narutomod/keybind/KeyBindingExtendedReachMouseEvent.java,5,55
minecraft_get_minecraft,net/narutomod/keybind/KeyBindingPowerIncrease.java,3,55
minecraft_get_minecraft,net/narutomod/keybind/KeyBindingSpecialJutsu1.java,3,56
minecraft_get_minecraft,net/narutomod/keybind/KeyBindingSpecialJutsu2.java,5,56
minecraft_get_minecraft,net/narutomod/keybind/KeyBindingSpecialJutsu3.java,5,56
minecraft_get_minecraft,net/narutomod/NarutomodModVariables.java,2,111
minecraft_get_minecraft,net/narutomod/Particles.java,23,66
minecraft_get_minecraft,net/narutomod/PlayerInput.java,8,104
minecraft_get_minecraft,net/narutomod/PlayerRender.java,3,82
minecraft_get_minecraft,net/narutomod/potion/PotionChakraEnhancedStrength.java,1,187
minecraft_get_minecraft,net/narutomod/procedure/ProcedureCameraShake.java,1,75
minecraft_get_minecraft,net/narutomod/procedure/ProcedureOnKeyEvent.java,2,25
minecraft_get_minecraft,net/narutomod/procedure/ProcedureOnLivingUpdate.java,2,95
minecraft_get_minecraft,net/narutomod/procedure/ProcedureRenderView.java,4,57
minecraft_get_minecraft,net/narutomod/procedure/ProcedureSync.java,20,89
